task_order,task_id,model,run,submission_status,terminal_status,terminal_pass,verifier_error,source_path,validity_status,validity_pass,validity_value,tanimoto_similarity_status,tanimoto_similarity_pass,tanimoto_similarity_value,scaffold_mcs_status,scaffold_mcs_pass,scaffold_mcs_value,interaction_similarity_status,interaction_similarity_pass,interaction_similarity_value,binding_probability_status,binding_probability_pass,binding_probability_value
4,smdd_003_2VQM_2,GPT-5.4,gpt_54_med_full_eval,,failed,False,False,evaluator/results/gpt_54_med_full_eval/smdd_003_2VQM_2/result.json,passed,True,True,passed,True,0.25,passed,True,0.23076923076923078,failed,False,0.375,passed,True,0.9948393106460571
4,smdd_003_2VQM_2,Kimi K2.5 Thinking,kimi_k25_thinking_full_eval,,failed,False,False,evaluator/results/kimi_k25_thinking_full_eval/smdd_003_2VQM_2/result.json,passed,True,True,passed,True,0.3333333333333333,passed,True,0.38461538461538464,failed,False,0.5,passed,True,0.7418051362037659
4,smdd_003_2VQM_2,MiniMax M2.7,minimax_m27_eval,,failed,False,False,evaluator/results/minimax_m27_eval/smdd_003_2VQM_2/result.json,passed,True,True,passed,True,0.4235294117647059,passed,True,0.5769230769230769,failed,False,0.125,failed,False,0.0740867629647255
4,smdd_003_2VQM_2,Qwen 3.5 397B-A17B,qwen35_397B_A17B_eval,,failed,False,False,evaluator/results/qwen35_397B_A17B_eval/smdd_003_2VQM_2/result.json,passed,True,True,passed,True,0.21649484536082475,passed,True,0.6153846153846154,failed,False,0.625,failed,False,0.31502964347600937
4,smdd_003_2VQM_2,Qwen 3.5 9B V1,results/blog/scaffold_hopping/v1,submitted,failed,False,False,results/blog/scaffold_hopping/v1/smdd_003_2VQM_2__nbjqkH7/verifier/reward.json,passed,True,1.0,passed,True,0.35,passed,True,0.35555555555555557,passed,True,0.8333333333333334,failed,False,0.6290854811668396
5,smdd_003_3FFG_0,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,failed,False,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_3FFG_0/result.json,passed,True,True,passed,True,0.48717948717948717,passed,True,0.5185185185185185,failed,False,0.6666666666666666,passed,True,0.9718326032161713
5,smdd_003_3FFG_0,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_3FFG_0/result.json,passed,True,True,passed,True,0.17647058823529413,passed,True,0.6071428571428571,failed,False,0.36363636363636365,passed,True,0.7806022763252258
5,smdd_003_3FFG_0,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_3FFG_0/result.json,passed,True,True,passed,True,0.10679611650485436,passed,True,0.42857142857142855,failed,False,0.4444444444444444,passed,True,0.9967635571956635
5,smdd_003_3FFG_0,GPT-5.4,gpt_54_med_full_eval,,failed,False,False,evaluator/results/gpt_54_med_full_eval/smdd_003_3FFG_0/result.json,passed,True,True,passed,True,0.4431818181818182,failed,False,0.8928571428571429,failed,False,0.5555555555555556,passed,True,0.9890868365764618
5,smdd_003_3FFG_0,Kimi K2.5 Thinking,kimi_k25_thinking_full_eval,,failed,False,False,evaluator/results/kimi_k25_thinking_full_eval/smdd_003_3FFG_0/result.json,passed,True,True,passed,True,0.313953488372093,passed,True,0.4444444444444444,failed,False,0.5555555555555556,passed,True,0.9784641861915588
5,smdd_003_3FFG_0,MiniMax M2.7,minimax_m27_eval,,failed,False,False,evaluator/results/minimax_m27_eval/smdd_003_3FFG_0/result.json,passed,True,True,passed,True,0.21348314606741572,passed,True,0.5925925925925926,failed,False,0.5714285714285714,passed,True,0.9121370315551758
5,smdd_003_3FFG_0,Qwen 3.5 397B-A17B,qwen35_397B_A17B_eval,,failed,False,False,evaluator/results/qwen35_397B_A17B_eval/smdd_003_3FFG_0/result.json,passed,True,True,passed,True,0.4444444444444444,passed,True,0.5925925925925926,failed,False,0.375,passed,True,0.943191409111023
5,smdd_003_3FFG_0,Qwen 3.5 9B V1,results/blog/scaffold_hopping/v1,submitted,failed,False,False,results/blog/scaffold_hopping/v1/smdd_003_3FFG_0__S8FmfB4/verifier/reward.json,passed,True,1.0,passed,True,0.08433734939759036,passed,True,0.5185185185185185,failed,False,0.08333333333333333,failed,False,0.6620142757892609
6,smdd_003_3FFG_1,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,passed,True,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_3FFG_1/result.json,passed,True,True,passed,True,0.45555555555555555,passed,True,0.48148148148148145,passed,True,0.875,passed,True,0.8435084819793701
6,smdd_003_3FFG_1,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_3FFG_1/result.json,passed,True,True,passed,True,0.1595744680851064,passed,True,0.48148148148148145,failed,False,0.4444444444444444,failed,False,0.6487406939268112
6,smdd_003_3FFG_1,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_3FFG_1/result.json,passed,True,True,passed,True,0.2962962962962963,passed,True,0.6296296296296297,failed,False,0.75,passed,True,0.8939656615257263
6,smdd_003_3FFG_1,GPT-5.4,gpt_54_med_full_eval,,failed,False,False,evaluator/results/gpt_54_med_full_eval/smdd_003_3FFG_1/result.json,passed,True,True,passed,True,0.45454545454545453,passed,True,0.5555555555555556,failed,False,0.75,passed,True,0.810451865196228
6,smdd_003_3FFG_1,Kimi K2.5 Thinking,kimi_k25_thinking_full_eval,,failed,False,False,evaluator/results/kimi_k25_thinking_full_eval/smdd_003_3FFG_1/result.json,passed,True,True,passed,True,0.18681318681318682,passed,True,0.5555555555555556,failed,False,0.25,passed,True,0.8977429568767548
6,smdd_003_3FFG_1,MiniMax M2.7,minimax_m27_eval,,failed,False,False,evaluator/results/minimax_m27_eval/smdd_003_3FFG_1/result.json,passed,True,True,passed,True,0.4827586206896552,passed,True,0.6428571428571429,failed,False,0.45454545454545453,passed,True,0.8474517464637756
6,smdd_003_3FFG_1,Qwen 3.5 397B-A17B,qwen35_397B_A17B_eval,,failed,False,False,evaluator/results/qwen35_397B_A17B_eval/smdd_003_3FFG_1/result.json,passed,True,True,passed,True,0.20238095238095238,passed,True,0.5185185185185185,failed,False,0.4,passed,True,0.9619725048542023
6,smdd_003_3FFG_1,Qwen 3.5 9B V1,results/blog/scaffold_hopping/v1,max_turns_exceeded,not_evaluated,False,True,results/blog/scaffold_hopping/v1/smdd_003_3FFG_1__6dqRTcF/verifier/reward.json,not_evaluated,False,,not_evaluated,False,,not_evaluated,False,,not_evaluated,False,,not_evaluated,False,
7,smdd_003_3FFG_2,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,failed,False,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_3FFG_2/result.json,passed,True,True,passed,True,0.3953488372093023,passed,True,0.48148148148148145,failed,False,0.75,passed,True,0.9412407279014587
7,smdd_003_3FFG_2,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_3FFG_2/result.json,passed,True,True,passed,True,0.32558139534883723,passed,True,0.37037037037037035,failed,False,0.75,passed,True,0.9471174776554108
7,smdd_003_3FFG_2,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_3FFG_2/result.json,passed,True,True,passed,True,0.16666666666666666,passed,True,0.3793103448275862,failed,False,0.625,passed,True,0.9745880663394928
7,smdd_003_3FFG_2,GPT-5.4,gpt_54_med_full_eval,,failed,False,False,evaluator/results/gpt_54_med_full_eval/smdd_003_3FFG_2/result.json,passed,True,True,passed,True,0.4444444444444444,failed,False,0.8928571428571429,failed,False,0.5,passed,True,0.9647612869739532
7,smdd_003_3FFG_2,Kimi K2.5 Thinking,kimi_k25_thinking_full_eval,,failed,False,False,evaluator/results/kimi_k25_thinking_full_eval/smdd_003_3FFG_2/result.json,passed,True,True,passed,True,0.22727272727272727,passed,True,0.5925925925925926,failed,False,0.75,passed,True,0.8846128880977631
7,smdd_003_3FFG_2,MiniMax M2.7,minimax_m27_eval,,failed,False,False,evaluator/results/minimax_m27_eval/smdd_003_3FFG_2/result.json,passed,True,True,passed,True,0.15730337078651685,passed,True,0.5925925925925926,failed,False,0.2222222222222222,failed,False,0.6681986451148987
7,smdd_003_3FFG_2,Qwen 3.5 397B-A17B,qwen35_397B_A17B_eval,,failed,False,False,evaluator/results/qwen35_397B_A17B_eval/smdd_003_3FFG_2/result.json,passed,True,True,passed,True,0.345679012345679,passed,True,0.5925925925925926,failed,False,0.75,passed,True,0.9864273965358734
7,smdd_003_3FFG_2,Qwen 3.5 9B V1,results/blog/scaffold_hopping/v1,submitted,failed,False,False,results/blog/scaffold_hopping/v1/smdd_003_3FFG_2__WKYweHX/verifier/reward.json,passed,True,1.0,passed,True,0.11956521739130435,passed,True,0.5185185185185185,failed,False,0.1111111111111111,failed,False,0.081483312882483
8,smdd_003_3GHW_0,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,failed,False,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_3GHW_0/result.json,passed,True,True,passed,True,0.2692307692307692,passed,True,0.391304347826087,failed,False,0.3076923076923077,passed,True,0.7514941692352295
8,smdd_003_3GHW_0,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_3GHW_0/result.json,passed,True,True,passed,True,0.4305555555555556,failed,False,0.6818181818181818,failed,False,0.5,passed,True,0.7012785971164703
8,smdd_003_3GHW_0,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_3GHW_0/result.json,passed,True,True,passed,True,0.46153846153846156,failed,False,0.7307692307692307,failed,False,0.3333333333333333,passed,True,0.8923355937004089
8,smdd_003_3GHW_0,GPT-5.4,gpt_54_med_full_eval,,failed,False,False,evaluator/results/gpt_54_med_full_eval/smdd_003_3GHW_0/result.json,passed,True,True,passed,True,0.46153846153846156,failed,False,0.7307692307692307,failed,False,0.3333333333333333,passed,True,0.8923355937004089
8,smdd_003_3GHW_0,Kimi K2.5 Thinking,kimi_k25_thinking_full_eval,,failed,False,False,evaluator/results/kimi_k25_thinking_full_eval/smdd_003_3GHW_0/result.json,passed,True,True,passed,True,0.4411764705882353,failed,False,0.72,failed,False,0.5384615384615384,passed,True,0.9028875529766083
8,smdd_003_3GHW_0,MiniMax M2.7,minimax_m27_eval,,failed,False,False,evaluator/results/minimax_m27_eval/smdd_003_3GHW_0/result.json,passed,True,True,passed,True,0.29850746268656714,passed,True,0.5454545454545454,failed,False,0.25,failed,False,0.6470131874084473
8,smdd_003_3GHW_0,Qwen 3.5 397B-A17B,qwen35_397B_A17B_eval,,failed,False,False,evaluator/results/qwen35_397B_A17B_eval/smdd_003_3GHW_0/result.json,passed,True,True,passed,True,0.15789473684210525,passed,True,0.6363636363636364,failed,False,0.4,failed,False,0.4970862567424774
8,smdd_003_3GHW_0,Qwen 3.5 9B V1,results/blog/scaffold_hopping/v1,submitted,failed,False,False,results/blog/scaffold_hopping/v1/smdd_003_3GHW_0__2Q7gVii/verifier/reward.json,passed,True,1.0,passed,True,0.1388888888888889,passed,True,0.6363636363636364,failed,False,0.3333333333333333,passed,True,0.7243452668190002
9,smdd_003_3GHW_1,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,failed,False,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_3GHW_1/result.json,passed,True,True,passed,True,0.3770491803278688,passed,True,0.5833333333333334,failed,False,0.14285714285714285,passed,True,0.9509747326374054
9,smdd_003_3GHW_1,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_3GHW_1/result.json,passed,True,True,passed,True,0.20270270270270271,passed,True,0.6086956521739131,failed,False,0.5,passed,True,0.9913915991783142
9,smdd_003_3GHW_1,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_3GHW_1/result.json,passed,True,True,passed,True,0.14925373134328357,passed,True,0.45,failed,False,0.3333333333333333,passed,True,0.9669798910617828
9,smdd_003_3GHW_1,GPT-5.4,gpt_54_med_full_eval,,failed,False,False,evaluator/results/gpt_54_med_full_eval/smdd_003_3GHW_1/result.json,passed,True,True,passed,True,0.3333333333333333,failed,False,0.85,failed,False,0.3076923076923077,passed,True,0.9589031040668488
9,smdd_003_3GHW_1,Kimi K2.5 Thinking,kimi_k25_thinking_full_eval,,failed,False,False,evaluator/results/kimi_k25_thinking_full_eval/smdd_003_3GHW_1/result.json,passed,True,True,passed,True,0.17307692307692307,passed,True,0.4,failed,False,0.23076923076923078,passed,True,0.7396548390388489
9,smdd_003_3GHW_1,MiniMax M2.7,minimax_m27_eval,,failed,False,False,evaluator/results/minimax_m27_eval/smdd_003_3GHW_1/result.json,passed,True,True,passed,True,0.19444444444444445,passed,True,0.6,failed,False,0.6,failed,False,0.5057216584682465
9,smdd_003_3GHW_1,Qwen 3.5 397B-A17B,qwen35_397B_A17B_eval,,failed,False,False,evaluator/results/qwen35_397B_A17B_eval/smdd_003_3GHW_1/result.json,passed,True,True,passed,True,0.16666666666666666,passed,True,0.4,failed,False,0.21428571428571427,passed,True,0.9036514759063721
9,smdd_003_3GHW_1,Qwen 3.5 9B V1,results/blog/scaffold_hopping/v1,max_turns_exceeded,not_evaluated,False,True,results/blog/scaffold_hopping/v1/smdd_003_3GHW_1__GBbwVSW/verifier/reward.json,not_evaluated,False,,not_evaluated,False,,not_evaluated,False,,not_evaluated,False,,not_evaluated,False,
10,smdd_003_3GHW_2,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,failed,False,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_3GHW_2/result.json,passed,True,True,passed,True,0.40963855421686746,passed,True,0.6086956521739131,failed,False,0.38461538461538464,passed,True,0.9294046461582184
10,smdd_003_3GHW_2,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_3GHW_2/result.json,passed,True,True,passed,True,0.29411764705882354,passed,True,0.4,failed,False,0.18181818181818182,failed,False,0.5078175663948059
10,smdd_003_3GHW_2,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_3GHW_2/result.json,passed,True,True,passed,True,0.12987012987012986,passed,True,0.45,failed,False,0.5384615384615384,passed,True,0.9662604033946991
10,smdd_003_3GHW_2,GPT-5.4,gpt_54_med_full_eval,,failed,False,False,evaluator/results/gpt_54_med_full_eval/smdd_003_3GHW_2/result.json,passed,True,True,passed,True,0.25609756097560976,failed,False,0.7,failed,False,0.5833333333333334,passed,True,0.9749765694141388
10,smdd_003_3GHW_2,Kimi K2.5 Thinking,kimi_k25_thinking_full_eval,,failed,False,False,evaluator/results/kimi_k25_thinking_full_eval/smdd_003_3GHW_2/result.json,passed,True,True,passed,True,0.1518987341772152,passed,True,0.5,failed,False,0.4166666666666667,passed,True,0.844332218170166
10,smdd_003_3GHW_2,MiniMax M2.7,minimax_m27_eval,,failed,False,False,evaluator/results/minimax_m27_eval/smdd_003_3GHW_2/result.json,passed,True,True,passed,True,0.2876712328767123,passed,True,0.5,failed,False,0.08333333333333333,failed,False,0.5238164514303207
10,smdd_003_3GHW_2,Qwen 3.5 397B-A17B,qwen35_397B_A17B_eval,,failed,False,False,evaluator/results/qwen35_397B_A17B_eval/smdd_003_3GHW_2/result.json,passed,True,True,passed,True,0.49333333333333335,passed,True,0.5833333333333334,failed,False,0.2857142857142857,failed,False,0.2638365477323532
10,smdd_003_3GHW_2,Qwen 3.5 9B V1,results/blog/scaffold_hopping/v1,submitted,failed,False,False,results/blog/scaffold_hopping/v1/smdd_003_3GHW_2__hPrQZwu/verifier/reward.json,passed,True,1.0,passed,True,0.41025641025641024,passed,True,0.5,failed,False,0.21428571428571427,failed,False,0.5201787948608398
11,smdd_003_3KWZ_0,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,failed,False,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_3KWZ_0/result.json,passed,True,True,passed,True,0.27941176470588236,passed,True,0.2857142857142857,failed,False,0.4,passed,True,0.8873518109321594
11,smdd_003_3KWZ_0,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_3KWZ_0/result.json,passed,True,True,passed,True,0.16666666666666666,passed,True,0.26666666666666666,failed,False,0.625,passed,True,0.8174321055412292
11,smdd_003_3KWZ_0,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_3KWZ_0/result.json,passed,True,True,passed,True,0.35294117647058826,passed,True,0.46153846153846156,failed,False,0.6,passed,True,0.969839870929718
11,smdd_003_3KWZ_0,GPT-5.4,gpt_54_med_full_eval,,passed,True,False,evaluator/results/gpt_54_med_full_eval/smdd_003_3KWZ_0/result.json,passed,True,True,passed,True,0.4461538461538462,passed,True,0.3333333333333333,passed,True,0.7777777777777778,passed,True,0.9857425391674042
11,smdd_003_3KWZ_0,Kimi K2.5 Thinking,kimi_k25_thinking_full_eval,,failed,False,False,evaluator/results/kimi_k25_thinking_full_eval/smdd_003_3KWZ_0/result.json,passed,True,True,passed,True,0.13432835820895522,passed,True,0.3333333333333333,failed,False,0.5,passed,True,0.8962390720844269
11,smdd_003_3KWZ_0,MiniMax M2.7,minimax_m27_eval,,passed,True,False,evaluator/results/minimax_m27_eval/smdd_003_3KWZ_0/result.json,passed,True,True,passed,True,0.17647058823529413,passed,True,0.5,passed,True,0.8888888888888888,passed,True,0.9538317322731018
11,smdd_003_3KWZ_0,Qwen 3.5 397B-A17B,qwen35_397B_A17B_eval,,failed,False,False,evaluator/results/qwen35_397B_A17B_eval/smdd_003_3KWZ_0/result.json,passed,True,True,passed,True,0.16666666666666666,passed,True,0.3333333333333333,failed,False,0.375,failed,False,0.14566577598452568
11,smdd_003_3KWZ_0,Qwen 3.5 9B V1,results/blog/scaffold_hopping/v1,submitted,failed,False,False,results/blog/scaffold_hopping/v1/smdd_003_3KWZ_0__H654Bu9/verifier/reward.json,passed,True,1.0,passed,True,0.21875,passed,True,0.42857142857142855,failed,False,0.5,failed,False,0.37537212669849396
12,smdd_003_3KWZ_1,Claude Sonnet 4.6,claude_sonnet_46_med_eval,,failed,False,False,evaluator/results/claude_sonnet_46_med_eval/smdd_003_3KWZ_1/result.json,passed,True,True,passed,True,0.4727272727272727,passed,True,0.5,failed,False,0.6666666666666666,passed,True,0.8471197485923767
12,smdd_003_3KWZ_1,DeepSeek V3.2,deepseek_v32_full_eval,,failed,False,False,evaluator/results/deepseek_v32_full_eval/smdd_003_3KWZ_1/result.json,passed,True,True,passed,True,0.29292929292929293,passed,True,0.5833333333333334,failed,False,0.5555555555555556,failed,False,0.4103670120239258
12,smdd_003_3KWZ_1,Gemini 3.1 Pro,gemini_31_pro_med_full_eval,,failed,False,False,evaluator/results/gemini_31_pro_med_full_eval/smdd_003_3KWZ_1/result.json,passed,True,True,passed,True,0.10377358490566038,passed,True,0.3333333333333333,failed,False,0.4444444444444444,passed,True,0.76469287276268
